-0.0080276-0.039273i,-0.012694-0.042982i,0.0019153-0.045943i,-0.027563-0.02647i,-0.020534+0.014341i,-0.033207-0.031022i,-0.061007-0.059694i,-0.022743-0.071499i,-0.034747-0.076963i,0.00085181+0.015892i,-0.0068457+0.010137i,-0.0147+0.013552i,0.0015329+0.015871i,-0.0040244-0.0034164i,0.00072718+0.006385i,0.00068869+0.0371i,0.022903+0.05605i,0.00070517-0.00020193i,-0.005095-0.008291i,0.0086267+0.0043446i,0.0017773+0.00075841i,-0.0012823+0.0033739i,-0.00012305-0.0014142i,-0.034796-0.0094264i,-0.0023275-0.0070118i,-6.5727e-05+0.0041617i,0.0044727-3.1624e-05i,8.9178e-05+0.001202i,-0.00022567-0.00098323i,-0.00022258-0.0026361i,-0.0013628-0.0054172i,-0.0023544-0.004174i,-0.0015561-0.0082614i,0.0032415-0.0010585i,0.0032364-0.0027049i,-0.0023082+0.033774i,0.0064638-0.0048206i,0.0038555-0.0021672i,0.0046318+0.00010048i,-0.031913-0.004627i,-0.0001591+0.0001523i,0.01371-0.0060154i,0.0061254-5.6633e-05i,-0.0030961+0.0040417i,0.0025501+0.0015488i,-0.0035584+0.0073548i,0.012981-0.086969i,-0.007254-0.048634i,-0.024786-0.039066i,-0.020234-0.041816i,0.061935-0.018446i,0.026502-0.06244i,0.038192-0.045657i,0.028621-0.056487i,0.018788-0.01551i,0.0088238+0.0099997i,0.024962-0.034103i,-0.0079018-0.0048607i,0.001989-0.0031256i,-0.0051695-0.0063367i,0.0013676-0.031837i,-0.023838+0.030693i,0.0078783-0.010046i,-0.010728-0.0020448i,-0.0053448-0.00099756i,-0.0015808-0.014365i,-0.010306+0.0039539i,0.004215+0.0079699i,-0.011551+0.030245i,0.0059559+0.0075737i,-0.0053517-0.0013063i,-0.0016523-0.00181i,-0.0099452-0.0082598i,0.00069194-0.0037194i,-0.019538+0.012344i,0.0023782-0.012604i,-0.0091083-0.0025063i,-0.0059549-0.0027826i,0.0062992+0.0016977i,-0.0097307+0.0019524i,0.00112+0.00067615i,0.0055077+0.0092794i,0.0041712+0.00065788i,-0.0092338-0.010147i,0.0028245+0.0085066i,-0.020129+0.0067413i,0.0067652+0.002921i,-0.028816-0.0078401i,-0.033972+0.003473i,0.029239-0.086212i,0.01156-0.0098598i,-0.042978-0.026606i,-0.022182-0.0025406i,0.017988+0.011974i,-0.027127+0.012275i,-0.01184-0.0084582i
-0.016509-0.03789i,-0.018785-0.036673i,-0.0054113-0.049754i,-0.029281-0.022991i,-0.010391+0.012075i,-0.040331-0.023633i,-0.068753-0.045798i,-0.032875-0.06896i,-0.039097-0.048718i,0.0033041+0.014471i,-0.0063844+0.0081593i,-0.0071165+0.019428i,0.0094944+0.012371i,-0.0085514-0.00039213i,0.0017154+0.0057611i,0.0094349+0.030931i,0.036066+0.037461i,0.0022187+0.0022397i,-0.0084627-0.0029917i,0.0086766+1.3383e-05i,0.00068133+0.0016075i,-0.001499+0.0037427i,-0.00073831-0.00011059i,-0.024176+0.010409i,-0.0046741-0.0047613i,0.0034633+0.0027226i,0.0030161-0.00018224i,0.00070249+0.0030461i,0.0011168-0.0011589i,-0.0016305-0.0027063i,-0.0015033-0.0044487i,-0.002987-0.0034898i,-0.0034892-0.0076012i,0.0026883-0.0029811i,0.0019999-0.0021901i,0.009933+0.03182i,0.005657-0.0068068i,0.001838-0.0029788i,0.0066643-0.0016703i,-0.010963+0.00094097i,-0.00011964+0.0015206i,0.0065517-0.003166i,0.0050385+0.00020861i,-0.0041759+0.0051213i,0.0091763-9.5883e-05i,0.007976+0.009903i,-0.0020356-0.089356i,-0.021477-0.050215i,-0.018959-0.032812i,-0.020148-0.028076i,0.064423-0.046503i,0.024261-0.082232i,0.040735-0.046947i,0.019229-0.065064i,0.0089191-0.0097618i,0.0081824+0.00041671i,0.011227-0.036295i,-0.0068478+0.00087571i,-0.00049134-0.011727i,-0.0061464-0.0064282i,-0.022089-0.032647i,-0.0094997+0.029406i,0.0020435-0.012547i,-0.011327+0.001095i,-0.0044964+0.00074711i,-0.0076659-0.012578i,-0.010768+0.0087626i,0.007937+0.0083975i,0.0075368+0.030186i,0.0076954+0.0019316i,-0.0044903+0.0015098i,-0.0039545-0.0020259i,-0.014856+0.00089154i,0.00033434-0.0032547i,-0.036001+0.010855i,-0.0043523-0.010121i,-0.0099296+0.0022306i,-0.0075221-0.00011484i,0.0039024-0.0041085i,-0.0081465+0.0049079i,0.0022711-0.0010448i,0.0051277+0.0035492i,0.0030138-0.00021963i,-0.013342-0.0019355i,0.0041147+0.0050635i,-0.014091+0.014204i,0.0063225-0.0010068i,-0.02901+0.0030904i,-0.031738+0.0135i,0.013749-0.082776i,0.0074832-0.015952i,-0.050159-0.014769i,-0.015393-0.0055475i,0.018745+0.0054281i,-0.020428+0.018908i,-0.018859-0.014085i
-0.021868-0.033267i,-0.021274-0.035186i,-0.013876-0.053147i,-0.031289-0.017894i,-0.0038491+0.0054099i,-0.045347-0.015101i,-0.078827-0.029946i,-0.048295-0.064355i,-0.04337-0.037346i,0.0055354+0.012438i,-0.0065084+0.011538i,0.00225+0.018306i,0.01273+0.0045459i,-0.0092965+0.0041035i,0.0030293+0.0054127i,0.015094+0.023702i,0.043427+0.024361i,0.0053591+0.0015688i,-0.0074934+0.001816i,0.0074282-0.0022491i,7.5545e-05+0.0024558i,-3.3921e-05+0.0058156i,-0.00043405+0.00058318i,-0.012112+0.017714i,-0.0044521-0.002087i,0.0045137-0.00070899i,0.0027218-0.0013534i,0.0034379+0.0032136i,-0.00031997-0.0020067i,-0.0021524-0.0020854i,-0.0022801-0.004178i,-0.0041168-0.0026975i,-0.0052728-0.005983i,0.00081546-0.0044018i,0.0041382-0.0045764i,0.019597+0.023004i,0.0027259-0.0082649i,0.00089885-0.0031748i,0.0066812-0.0063107i,-0.0099421+0.0021523i,0.00070272+0.0020724i,0.005575-0.0046834i,0.0060402-0.00032548i,-0.0028879+0.0070836i,0.013625-0.0074092i,0.01903+0.0051572i,-0.017253-0.088204i,-0.033146-0.041987i,-0.011579-0.036276i,-0.01275-0.027116i,0.057524-0.072151i,0.0047714-0.10079i,0.046273-0.054611i,0.0068105-0.066726i,0.0074279-0.0075604i,0.005267-0.0032575i,-0.00050006-0.036711i,0.002875-0.00010315i,-0.010278-0.012798i,-0.006007-0.00879i,-0.040215-0.020764i,-0.00074952+0.027644i,-0.0042141-0.011849i,-0.0095364+0.0040501i,-0.0055416+0.0017654i,-0.014464-0.010084i,-0.0048873+0.014672i,0.013787+0.0033186i,0.020212+0.01726i,0.0068376-0.00080851i,-0.0040053+0.001203i,-0.0052057-0.00049747i,-0.010959+0.010237i,-0.0028776-0.0028948i,-0.030896+0.025227i,-0.0070548-0.0056285i,-0.0075015+0.0068106i,-0.0084197+0.0066848i,-0.0010898-0.0053421i,-0.0060105+0.0065975i,0.0013703-0.0025646i,0.0026148+0.002428i,0.0025421-0.0017048i,-0.0095017+0.0048387i,0.00364+0.0023799i,-0.0079784+0.017462i,0.0031349-0.0041501i,-0.024745+0.011445i,-0.024821+0.021529i,0.002018-0.080248i,0.0010658-0.017158i,-0.049828-0.0012045i,-0.020675-0.012892i,0.01748-0.0025625i,-0.010155+0.019669i,-0.022032-0.010452i
-0.025382-0.028854i,-0.025656-0.03572i,-0.023936-0.05518i,-0.031517-0.013594i,-0.002288-0.0039077i,-0.047026-0.0043068i,-0.08177-0.0021841i,-0.062605-0.049226i,-0.048291-0.024824i,0.0078248+0.011138i,-0.0022546+0.014252i,0.0065635+0.012995i,0.011838-0.0033158i,-0.0072462+0.0095115i,0.0033269+0.0037419i,0.016879+0.014069i,0.048207+0.0015837i,0.0066926-0.0015729i,-0.006147+0.0056794i,0.005382-0.0040188i,0.0015251+0.0041284i,0.0041641+0.006812i,-0.00032435+0.0011076i,-0.0013266+0.022858i,-0.0035239-0.0012258i,0.003007-0.0028705i,0.0024217-0.002061i,0.0042052-9.107e-05i,-0.00078259-0.00055584i,-0.0033504-0.0014316i,-0.0026763-0.0035455i,-0.004585-0.001369i,-0.0073006-0.002894i,-0.00072673-0.0046816i,-0.00019182-0.0072246i,0.021383+0.013238i,-0.00044441-0.0084704i,-0.00012882-0.0034883i,0.0024113-0.0095129i,-0.0060012+0.0062127i,0.0016885+0.0017785i,0.0024616-0.0060558i,0.0058033-0.0024365i,-0.0002787+0.0068641i,0.016619-0.014442i,0.027228-0.0040155i,-0.031128-0.082819i,-0.037075-0.030751i,-0.012796-0.041163i,-0.011002-0.029477i,0.040227-0.099765i,-0.024226-0.10433i,0.044858-0.074411i,-0.0024789-0.065802i,0.007297-0.005989i,0.00058674-0.0060983i,-0.014441-0.032758i,0.0027894-0.0093378i,-0.013936-0.0074934i,-0.012076-0.011828i,-0.048209+2.8617e-05i,0.010271+0.021862i,-0.0087377-0.0090385i,-0.0063558+0.0053969i,-0.0049104+0.0043886i,-0.020044-0.0030243i,0.003464+0.013104i,0.016227-0.0038859i,0.020908-0.0021028i,0.0072432-0.0031291i,-0.0048835+0.0011562i,-0.0058483+0.0027512i,-0.0055659+0.016682i,-0.0049553+0.00050571i,-0.022091+0.032194i,-0.0076937-0.0026437i,-0.0024465+0.0091962i,-0.0023295+0.012304i,-0.0054325-0.0027958i,-0.0022713+0.0057662i,0.00050445-0.002704i,0.0017208+0.0026902i,0.00055202-0.0034255i,-0.0035644+0.0048232i,0.00062873-0.00067858i,-0.0033524+0.019385i,-0.00093193-0.0038018i,-0.017662+0.017508i,-0.016575+0.023622i,-0.0075933-0.080366i,0.0018788-0.014428i,-0.046026+0.012136i,-0.029266-0.0099637i,0.014449-0.0086485i,-0.001299+0.015852i,-0.022419-0.0055362i
-0.027848-0.024217i,-0.033261-0.033691i,-0.03809-0.055606i,-0.02935-0.0095715i,-0.0082306-0.012208i,-0.045702+0.0057107i,-0.06471+0.017344i,-0.064022-0.03286i,-0.045399-0.014135i,0.010099+0.0091879i,0.003258+0.012589i,0.0087266+0.0096777i,0.0063615-0.0088337i,-0.0014097+0.011792i,0.0029669+0.0023745i,0.014273+0.0099331i,0.0329-0.01759i,0.0056855-0.0045368i,-0.0015935+0.010655i,0.0033267-0.0047536i,0.0029898+0.0046182i,0.0065674+0.004024i,-7.266e-05+0.0022788i,0.01333+0.020541i,-0.003883+0.00036005i,0.0016426-0.0034951i,0.0012756-0.0026655i,0.0052969+0.0026337i,2.4404e-05-2.9506e-05i,-0.0042436+0.00058042i,-0.003643-0.0026236i,-0.0042515+0.00037521i,-0.0064998-4.5401e-05i,-0.0033137-0.0039883i,-0.0032058-0.0053712i,0.022652+0.0077276i,-0.0031032-0.0075592i,-0.002039-0.0032101i,-0.001175-0.0087747i,-0.0022364+0.0020697i,0.00193+0.0010601i,-0.00087364-0.0046386i,0.0054997-0.003288i,0.00045293+0.0056029i,0.015484-0.026723i,0.032495-0.018275i,-0.039504-0.074102i,-0.03636-0.021107i,-0.015854-0.044753i,-0.011591-0.030561i,0.0059085-0.11917i,-0.049489-0.095573i,0.026822-0.091002i,-0.013895-0.060486i,0.0079957-0.0037386i,-0.0037781-0.006303i,-0.023369-0.022949i,-0.004321-0.013678i,-0.015708-0.0045148i,-0.021306-0.007114i,-0.044042+0.018654i,0.014252+0.010934i,-0.012506-0.0043309i,-0.0041188+0.0057584i,-0.0035005+0.0068854i,-0.019952+0.0077439i,0.0046475+0.0085767i,0.015115-0.011102i,0.028268-0.0039759i,0.0053548-0.0077201i,-0.0067945+0.0034037i,-0.0034254+0.0062267i,0.0016463+0.019119i,-0.0045896+0.0045606i,-0.01637+0.036342i,-0.0091737-0.0012927i,0.0012449+0.0070375i,0.0044664+0.011734i,-0.0070992+0.00099685i,-0.0027045+0.0030599i,-0.0012041-0.0037825i,0.0010756+0.0043025i,-0.0040201-0.0040602i,-0.0022521+0.0015979i,-0.0029198+0.0016399i,0.0034575+0.021437i,-0.0031943-0.0023445i,-0.0092107+0.019911i,-0.011621+0.024125i,-0.019428-0.077981i,0.0059174-0.020316i,-0.038062+0.02637i,-0.033092-0.00033229i,0.0098594-0.013732i,0.00090693+0.0079648i,-0.021857-0.0046253i
-0.028406-0.020665i,-0.038054-0.03012i,-0.053855-0.048508i,-0.029329-0.008247i,-0.019964-0.013779i,-0.040731+0.014314i,-0.048044+0.022596i,-0.061736-0.02133i,-0.042853-0.010362i,0.011286+0.0068187i,0.0049908+0.010017i,0.010902+0.0047417i,-0.00026964-0.01062i,0.0045321+0.010406i,0.0022505+0.0015956i,0.013255+0.0078624i,0.018804-0.022982i,0.0049641-0.0062282i,0.0049741+0.0097895i,0.000925-0.0045466i,0.0055044+0.0027079i,0.0063276+0.0013695i,0.0021173+0.0030505i,0.027662+0.0048668i,-0.0020364+0.002547i,0.0004661-0.0038134i,-0.00016098-0.00091312i,0.0059651-0.0010609i,9.5741e-05-0.00092562i,-0.0025997+0.0035689i,-0.0033316-0.0017064i,-0.0039748+0.0014i,-0.0061303+0.0019244i,-0.0049796-0.0013524i,-0.0037061-0.0031283i,0.024539+0.00025031i,-0.0055562-0.0054166i,-0.0042574-0.0030137i,-0.0041456-0.0078446i,-0.0056163-0.0014183i,0.0024259+0.0006805i,-0.0021868-0.0022295i,0.0037191-0.0050011i,0.0010435+0.0052381i,0.0062789-0.035503i,0.022217-0.037223i,-0.041783-0.06729i,-0.034492-0.014017i,-0.020811-0.045191i,-0.011644-0.034491i,-0.032923-0.11516i,-0.070461-0.079142i,0.0072222-0.095579i,-0.01665-0.047044i,0.014306-0.00010792i,-0.0066313-0.0038561i,-0.024623-0.0097268i,-0.010495-0.013202i,-0.020021+0.00026431i,-0.020324+0.001857i,-0.035744+0.035291i,0.012616+0.0038551i,-0.010023+0.0026826i,-0.0046826+0.0059361i,0.0016687+0.0089323i,-0.01326+0.015049i,0.0062427+0.0094686i,0.010622-0.021976i,0.015172-0.019847i,-0.0024987-0.011155i,-0.0070305+0.0080087i,-0.001402+0.0065665i,0.0085341+0.016979i,-0.001256+0.0071234i,3.1938e-05+0.050323i,-0.01127+0.0017093i,0.0018566+0.0061609i,0.0080646+0.0066451i,-0.0054764+0.0078554i,-0.003325+0.004645i,-0.0046196-0.0027259i,0.004024+0.0053643i,-0.0047292+0.0033014i,-0.0049138+0.0013173i,-0.00052097+0.0071147i,0.010256+0.017452i,-0.0045569-0.0011615i,-0.0032621+0.016985i,-0.0040481+0.027136i,-0.025023-0.07064i,-0.001814-0.033904i,-0.016616+0.032561i,-0.030641+0.007934i,0.010495-0.018785i,0.00093212+0.0020612i,-0.021876+0.00042699i
-0.02887-0.018236i,-0.046051-0.027525i,-0.067618-0.035998i,-0.02797-0.0032552i,-0.029301-0.0055721i,-0.034717+0.019759i,-0.036516+0.02147i,-0.05933-0.014378i,-0.04595-0.0060467i,0.013061+0.0031257i,0.0082435+0.0090073i,0.008141-0.0011508i,-0.0076827-0.0078i,0.009454+0.0046638i,0.0019615+0.001104i,0.013107+0.0066089i,0.0067744-0.021609i,0.0022967-0.0086928i,0.0082856+0.0045116i,-0.00033176-0.0028015i,0.0058246-0.00058868i,0.0075746+0.00055202i,0.004056+0.001723i,0.022619-0.0099478i,0.0013224+0.0016401i,-0.00049362-0.0029757i,0.0012478-0.0019341i,0.007121-0.0054895i,-0.0002178-0.0005781i,-0.00013234+0.0037372i,-0.0037762-0.0012109i,-0.002879+0.002553i,-0.0043333+0.0040178i,-0.0039251+0.0015179i,-0.0042653-0.0032373i,0.021795-0.0089815i,-0.0063987-0.0023673i,-0.0048913-0.00078956i,-0.0081418-0.0054481i,-0.011041+0.0025299i,0.0027304+2.9039e-05i,-0.0009327-0.0014917i,0.0015887-0.0057563i,0.0020483+0.0035026i,-0.0054195-0.038412i,0.0052305-0.039442i,-0.048734-0.066331i,-0.026767-0.008494i,-0.024273-0.043855i,-0.020046-0.0408i,-0.06008-0.10055i,-0.078601-0.053629i,-0.016047-0.097004i,-0.010571-0.042797i,0.020423-0.014625i,-0.0075559-0.00030187i,-0.02083-0.0054677i,-0.019319-0.0098357i,-0.018197+0.0099024i,-0.018174+0.0060214i,-0.015592+0.044403i,0.011462-0.00058812i,-0.0080845+0.0024482i,-0.0012091+0.0057657i,0.0043222+0.0053971i,-0.0063726+0.018625i,0.011076+0.0069576i,-0.0050162-0.027104i,-0.0032681-0.021047i,-0.0059202-0.0044537i,-0.0031359+0.01175i,0.0021397+0.005776i,0.01567+0.0086943i,0.0024415+0.0055121i,0.022823+0.053315i,-0.0079477+0.0065583i,0.0030977+0.0045651i,0.00821+0.0020273i,0.0011126+0.0093632i,-0.0053289+0.0064374i,-0.0059553+0.0021887i,0.0071468+0.004814i,-0.001641+0.0058173i,-0.0064504+0.0040463i,0.0034103+0.0073469i,0.013051+0.011431i,-0.0043943+0.0013729i,0.0019495+0.014115i,0.0045641+0.024264i,-0.030013-0.069168i,-0.020487-0.035341i,-0.0017901+0.023522i,-0.028805+0.014232i,-0.0069368-0.025472i,-0.0026712-0.0021468i,-0.01425+0.00237i
-0.03071-0.016245i,-0.05377-0.017792i,-0.076895-0.017976i,-0.02537-0.0024213i,-0.029357+0.0057808i,-0.029802+0.023636i,-0.030212+0.01873i,-0.057685-0.0091984i,-0.046018+0.0046994i,0.012949-0.00051922i,0.010824+0.0030635i,0.0026354-0.0013834i,-0.010813-0.0013974i,0.0069805-0.0010182i,0.0011183+0.00052746i,0.015657+0.003471i,-0.000965-0.016597i,-0.0023981-0.0082014i,0.0067603+0.0010003i,-0.0005985-0.0017705i,0.0034905-0.0023949i,0.0070462-0.0018971i,0.004108-0.00027943i,0.01388-0.017854i,0.0010271-0.0012524i,-0.00061144-0.002728i,0.00061412-0.0030034i,0.0010037-0.0060525i,0.0015451-0.00011424i,0.0007321+0.0027415i,-0.0041728-0.00089361i,-0.0014651+0.0032041i,-0.0026401+0.0051421i,-0.0024296+0.00153i,-0.0060043-0.00029721i,0.016182-0.014775i,-0.0051216-0.00033608i,-0.0039266+0.0017426i,-0.0067886-0.0029694i,-0.0084605+0.0092978i,0.0022002-0.00011633i,-0.00081511-0.0014572i,-0.00046589-0.0049587i,0.0010761+0.0015266i,-0.015964-0.034456i,-0.00082659-0.030279i,-0.058258-0.063203i,-0.020289-0.010207i,-0.028574-0.042813i,-0.031214-0.037331i,-0.083168-0.083468i,-0.073885-0.034102i,-0.043132-0.084941i,-0.0081913-0.046819i,0.014339-0.025422i,-0.0060021+0.0020836i,-0.019661+0.00025356i,-0.026534+0.0011338i,-0.01097+0.016147i,-0.014179+0.012471i,0.0066536+0.039603i,0.009001-0.005837i,-0.0088016+0.0038128i,-0.0012522+0.0040175i,0.006393+0.0037657i,0.0027159+0.016434i,0.012326-0.00066246i,-0.019769-0.017696i,-0.014043-0.011722i,-0.0047361-0.00014046i,0.0035197+0.011593i,0.0036391+0.0039182i,0.01757+0.0010913i,0.0050851+0.004663i,0.045438+0.03817i,-0.0042001+0.0065674i,0.0027449+0.0043696i,0.0067956-0.0029458i,0.0060071+0.0062245i,-0.0037613+0.012213i,-0.0029741+0.0076165i,0.0098389+0.00032781i,0.0033892+0.0061i,-0.0059016+0.0070484i,0.0059524+0.0042049i,0.014218+0.0054255i,-0.0040535+0.001785i,0.0048925+0.0098186i,0.0093038+0.018993i,-0.036678-0.066326i,-0.032184-0.022723i,0.0042088+0.011467i,-0.015066+0.02218i,-0.013969-0.02585i,-0.0105-0.0021878i,-0.014369-0.0037635i
-0.032976-0.012592i,-0.056084-0.0059012i,-0.078902+0.0024733i,-0.025019-0.0018219i,-0.024265+0.012924i,-0.024576+0.026924i,-0.027027+0.015083i,-0.058904-0.0046436i,-0.039316+0.013129i,0.011437-0.0045882i,0.0093525-0.0017174i,0.0016326+0.0015183i,-0.0099849+0.0043359i,0.0034135-0.0029858i,0.00020013+0.001113i,0.015646-0.0023382i,-0.0025314-0.010097i,-0.005177-0.0053388i,0.0051973-0.00021337i,-0.00035263-0.00093281i,0.0026557-0.0014191i,0.005161-0.0039523i,0.0037229-0.0010927i,0.0056251-0.019053i,-0.00059615-0.0024007i,-0.0015684-0.0034083i,-0.00019964-0.0032608i,-0.0011398-0.0059516i,0.0013574-0.001684i,0.0017837+0.0022019i,-0.0044295-0.00034739i,-5.6307e-05+0.0032253i,-0.00024116+0.0040037i,-0.002726+0.0027515i,-0.0038374+0.0010979i,0.0086009-0.017837i,-0.0036444+0.00020736i,-0.0021142+0.0029179i,-0.0080519-0.00068559i,-0.0038005+0.010811i,0.0021399-0.00031514i,-0.0015568-0.0011364i,-0.00070874-0.0044613i,-0.0015275+0.0017835i,-0.023011-0.027277i,0.0052056-0.025229i,-0.070591-0.056232i,-0.018329-0.01393i,-0.032271-0.039524i,-0.037719-0.030064i,-0.10061-0.056006i,-0.070061-0.025411i,-0.05234-0.058985i,-0.011125-0.049977i,0.0060763-0.033252i,-0.0045745+0.0023791i,-0.016028+0.0013968i,-0.021846+0.014493i,-0.0035943+0.016429i,-0.0027693+0.013211i,0.016207+0.025825i,0.0048952-0.0080096i,-0.0085643+0.0072865i,-0.0020996+0.003797i,0.0064341-0.00091228i,0.007258+0.012409i,0.0066852-0.0037906i,-0.025279-0.0039274i,-0.0168-0.0020955i,-0.0018812+0.00087797i,0.0065797+0.0094694i,0.0027246+0.0026059i,0.014728-0.0099827i,0.0062088+8.4905e-05i,0.052798+0.013319i,-0.0037506+0.0078813i,0.0044368+0.0031144i,0.0023093-0.0052515i,0.0066268+0.0024147i,0.0019977+0.01535i,0.0040718+0.0058724i,0.007273-0.0042152i,0.0062433+0.0020002i,-0.0032522+0.011858i,0.0045214+0.003302i,0.011939+0.0015303i,-0.0053024+0.0029425i,0.0030273+0.0067438i,0.011453+0.015181i,-0.04363-0.063047i,-0.032153-0.0076412i,0.0025928+0.0020474i,-0.0031785+0.015696i,-0.025197-0.021297i,-0.013912+0.0070243i,-0.019584-0.0013141i
-0.034523-0.0079544i,-0.054332+0.0037991i,-0.072951+0.021241i,-0.026434-0.0007285i,-0.017744+0.01705i,-0.019058+0.029555i,-0.027514+0.012784i,-0.061125+0.0037104i,-0.032855+0.016711i,0.0081995-0.0077518i,0.0049702-0.0033216i,0.0026147+0.0022814i,-0.0056802+0.0084158i,0.00054022-0.003573i,0.00071332+0.0021684i,0.010784-0.0081513i,-0.0013848-0.0086759i,-0.0054588-0.001572i,0.0050786-0.00071433i,0.00038341-0.00040602i,0.0036395-0.0017802i,0.003177-0.0037069i,0.003606-0.0018339i,-0.0013896-0.017705i,-0.0017426-0.0019965i,-0.003245-0.0026817i,-0.0012022-0.0032782i,-0.003279-0.0051295i,0.00068588-0.0022619i,0.0027354+0.0010292i,-0.0047511+0.00060043i,0.0010725+0.0024597i,0.00097161+0.0033082i,-0.0010712+0.0033573i,-0.0037147+0.0017669i,0.00046996-0.016171i,-0.0034315-0.00031029i,-0.00025182+0.0026812i,-0.0067809+0.003893i,-1.1429e-05+0.012149i,0.0014528-0.00018616i,-0.00089035+0.00012264i,-0.0013762-0.0040292i,-0.0013593+0.0049572i,-0.023512-0.019267i,0.013837-0.032899i,-0.081085-0.042962i,-0.019969-0.016265i,-0.033873-0.037174i,-0.042129-0.022833i,-0.10222-0.027189i,-0.067594-0.014311i,-0.047002-0.043152i,-0.014704-0.053634i,-0.0066151-0.038195i,-0.0031588+0.0028439i,-0.017034+0.00019461i,-0.012088+0.020693i,0.0010756+0.013172i,0.0035213+0.0049669i,0.016332+0.012631i,-6.2667e-05-0.0089956i,-0.0054942+0.010186i,-0.0026478+0.0048071i,0.0036793-0.0035604i,0.0090638+0.0078605i,0.0043677-0.0024565i,-0.022799+0.0096418i,-0.01405+0.0067685i,-0.00093419+0.0010818i,0.01094+0.0069861i,0.0024133+0.0021242i,0.0062011-0.014469i,0.0033663-0.0029152i,0.048202-0.0086687i,-0.0011934+0.0098617i,0.0034677+0.0012788i,-0.0011138-0.0040523i,0.0059271+0.00090179i,0.0099534+0.01515i,0.0047658+0.0016194i,0.0048467-0.005551i,0.0049827-0.00092955i,0.0021418+0.012421i,0.0051731+0.0025016i,0.011494-0.0018586i,-0.0036568+0.0070545i,0.0034497+0.0061371i,0.013718+0.012054i,-0.051304-0.05984i,-0.031959+0.0055386i,9.4004e-05-0.0018818i,-0.0015398+0.0064687i,-0.03299-0.011474i,-0.0087442+0.010299i,-0.018513+0.0019514i
-0.034488-0.0029307i,-0.050389+0.011886i,-0.061261+0.03593i,-0.026665+0.0027188i,-0.010071+0.017363i,-0.013333+0.030808i,-0.02893+0.014044i,-0.060149+0.013371i,-0.027959+0.019396i,0.0046737-0.0092406i,0.0023056-0.0026422i,0.0041894+0.0015557i,-0.0015359+0.0086978i,-0.0027485-0.0019088i,0.0011766+0.0022375i,0.005531-0.0091688i,-0.0037595-0.010778i,-0.0045342+0.00015155i,0.0045248-0.0023457i,0.0010687-0.00064492i,0.0035691-0.0032378i,0.0030165-0.0033092i,0.003255-0.0028389i,-0.0073281-0.01518i,-0.0023708-0.0013991i,-0.0039949-0.0010035i,-0.0026766-0.002726i,-0.0042403-0.0032123i,0.00014952-0.0027231i,0.0023534-0.0010354i,-0.0047373+0.0023818i,0.001167+0.0018973i,0.0017919+0.0027576i,0.0013159+0.0026763i,-0.0027841+0.002814i,-0.0030278-0.011582i,-0.0033148+0.00032442i,0.0011558+0.0016027i,-0.002744+0.0054038i,0.0059537+0.012096i,-0.00050663-0.0009396i,4.6368e-05+0.00043161i,-0.0025072-0.0042075i,0.0010116+0.0046521i,-0.020862-0.016257i,0.01182-0.04884i,-0.086684-0.026761i,-0.020672-0.017225i,-0.036533-0.039257i,-0.044124-0.014524i,-0.098785-0.0060488i,-0.063304-0.0061795i,-0.042635-0.03471i,-0.021889-0.055759i,-0.020491-0.036722i,-0.0022655+0.0023751i,-0.022847+0.0021609i,-0.0028246+0.020005i,0.0031018+0.008624i,0.0024281-0.0022966i,0.012268+0.0059927i,-0.0046407-0.0092585i,-0.0018495+0.011228i,-0.0018952+0.0059245i,0.00073765-0.0037195i,0.0074219+0.0034234i,0.003811-0.001671i,-0.013992+0.017209i,-0.0076717+0.013112i,0.0013414+3.2761e-05i,0.013884+0.00018617i,0.0020634+0.0025268i,-0.001213-0.012839i,0.00048264-0.0032615i,0.037838-0.018972i,0.0036069+0.011202i,0.0028484+0.0016917i,-0.0035956-0.0013887i,0.0058314-0.00208i,0.016313+0.010498i,0.0034061-0.0013534i,0.0019574-0.0068803i,0.003157-0.002681i,0.011214+0.0061667i,0.0050896+0.0020874i,0.0077904-0.0059324i,0.00050374+0.0080202i,0.0044307+0.0042073i,0.016542+0.0075687i,-0.061026-0.052607i,-0.023521+0.0069051i,-0.0024823-0.0045775i,-0.004406+0.0030065i,-0.036419-0.00086325i,-0.0062513+0.0091063i,-0.016561+0.0038939i
