-0.023121-0.03923i,-0.010879-0.049388i,-0.016683-0.04558i,-0.030692-0.035859i,-0.029496-0.01708i,-0.050528-0.029161i,-0.058596-0.026749i,-0.044608-0.039394i,-0.02966-0.036735i,0.0069986+0.01343i,-0.005759+0.016055i,-0.005349+0.014773i,0.0096524+0.022232i,0.00013674+0.0047332i,0.0035863+0.0034482i,0.006217+0.018216i,0.026932+0.039731i,-0.0023179-0.00090931i,-0.0043377-0.0060478i,0.0080599+0.0018839i,-2.9699e-05-0.00088452i,-0.00088694+0.0014958i,7.6273e-05-0.00047415i,-0.03078-0.0028193i,-0.0014016-0.0060273i,0.001304+0.0047082i,0.0038629-4.2e-05i,-0.00039304+0.00064453i,0.0004209-0.00061143i,-0.00050418-0.0025228i,-0.0018392-0.0064956i,-0.0046001-0.0042495i,-0.0020275-0.0053489i,0.0021676-0.00083799i,0.0021891-0.003031i,0.0023059+0.026063i,0.0019883-0.0030182i,0.0029513+0.00065264i,0.0059189+0.00094452i,-0.010509-0.0035521i,-0.0031699+0.00068845i,0.0068544+0.0016877i,0.0046236+0.00062552i,-0.0037916+0.0055167i,0.0016154-0.0079951i,-0.011269+0.018433i,0.035925-0.090656i,0.012728-0.070328i,-0.015353-0.059617i,-0.016169-0.0558i,0.040338-0.045845i,0.017598-0.062549i,0.034773-0.055639i,0.031432-0.059575i,0.015803-0.013465i,0.0041796+0.016936i,0.016689-0.026216i,-0.011429+0.0056362i,-0.00082294+0.0051872i,-0.0056904-0.0011235i,-0.0019363-0.028883i,-0.024045+0.031823i,0.0099205-0.011109i,-0.013063-0.0024822i,-0.00027154-0.0050329i,-0.0010954-0.016432i,-0.0077192+0.0047701i,0.005216+0.0062101i,-0.0083945+0.03117i,0.0049357+0.0059114i,-0.0052956-0.00062932i,-0.0030394-0.00031463i,-0.012114-0.0076789i,-0.00068384-0.0043883i,-0.030099+0.0059417i,9.0904e-05-0.010138i,-0.0094102-0.0022271i,-0.0065495-0.0026502i,0.0068971+0.0027982i,-0.0077905+0.001109i,0.00014933+0.00032929i,0.0057265+0.010934i,0.0040555+0.0012165i,-0.0097121-0.010174i,0.0029504+0.008418i,-0.021559+0.0062271i,0.0082569+0.00020468i,-0.02895-0.0040018i,-0.041919+0.0024133i,0.018928-0.096627i,-0.0016574-0.012307i,-0.053148-0.02183i,-0.023235+0.0011194i,0.018004+0.010952i,-0.024707+0.012843i,-0.018684-0.013461i
-0.031137-0.036068i,-0.017352-0.042307i,-0.023875-0.04395i,-0.037766-0.032422i,-0.027871-0.017288i,-0.057588-0.017707i,-0.060619-0.014931i,-0.05039-0.031224i,-0.034124-0.028726i,0.0078134+0.0097121i,-0.0035518+0.013632i,0.0016888+0.016885i,0.018193+0.015271i,-0.00077134+0.0061937i,0.0041865+0.0021017i,0.010008+0.012864i,0.033724+0.024672i,-0.00081057+0.0025789i,-0.005842-0.0019326i,0.0078271-0.0023596i,-0.00094137+0.00053531i,-0.0010582+0.0022181i,-0.00015273-0.00012408i,-0.018552+0.012531i,-0.0034188-0.0041862i,0.0052334+0.0016241i,0.0029018-0.00033044i,0.00056445+0.0020409i,0.00067138-0.00095145i,-0.0015864-0.002996i,-0.002319-0.0052251i,-0.0053749-0.0023856i,-0.0033513-0.0045597i,0.001596-0.0018282i,0.0013147-0.0021062i,0.010311+0.021896i,0.0014801-0.003627i,0.0025218-0.00057757i,0.0081378-0.0016516i,-0.007459-0.0010853i,-0.0024986+0.0028786i,0.005943+0.0010769i,0.004527-9.294e-05i,-0.0052783+0.0075406i,0.005913-0.010715i,0.0040545+0.023493i,0.018619-0.096741i,-0.0052075-0.077119i,-0.012014-0.055083i,-0.020129-0.045522i,0.03495-0.064928i,0.013503-0.081022i,0.035585-0.055229i,0.019914-0.068772i,0.0059205-0.0062643i,0.0067216+0.0058209i,0.0056499-0.026865i,-0.0080403+0.011539i,-0.00044185-0.0027745i,-0.0054769-0.0011408i,-0.023235-0.02777i,-0.0099103+0.029956i,0.0039556-0.014809i,-0.013359+0.0010065i,-0.0014737-0.0044457i,-0.0089232-0.0146i,-0.0079977+0.0088291i,0.0083012+0.0058154i,0.010371+0.027863i,0.0061858+0.0014448i,-0.004416+0.0020564i,-0.0044873+0.00017128i,-0.016215+0.0021854i,-0.00093304-0.002712i,-0.032397+0.01359i,-0.0051613-0.0070109i,-0.0098565+0.0028499i,-0.0077426+0.0012082i,0.0056103-0.0034645i,-0.0074861+0.0029589i,0.0012819-0.00080043i,0.0052244+0.0043738i,0.0035156+0.00024769i,-0.014412-0.0018157i,0.0035737+0.0045547i,-0.015866+0.014489i,0.0063009-0.0035988i,-0.027692+0.0074583i,-0.041267+0.014713i,0.0014829-0.096955i,-0.0060719-0.015845i,-0.0591-0.0066664i,-0.016436-0.0017594i,0.018091+0.0051012i,-0.018902+0.019417i,-0.027378-0.017454i
-0.036358-0.029768i,-0.019903-0.041955i,-0.030056-0.042561i,-0.043523-0.025404i,-0.02853-0.019136i,-0.061129-0.0052125i,-0.06334-0.0016445i,-0.056197-0.022061i,-0.037425-0.022665i,0.0083401+0.0068671i,-0.0011345+0.015734i,0.0086509+0.01359i,0.020711+0.0052102i,0.00085619+0.0075799i,0.0044996+0.00087426i,0.011205+0.0074137i,0.038041+0.012923i,0.0023814+0.0025727i,-0.0046637+0.0015164i,0.0057255-0.0046657i,-0.0012323+0.001819i,6.6421e-05+0.0034976i,-6.0769e-05+0.00016699i,-0.0070052+0.016924i,-0.0031029-0.0024472i,0.0056343-0.0026263i,0.0025347-0.0015258i,0.0022923+0.0017986i,-0.0001018-0.0011964i,-0.0024985-0.0024529i,-0.0031891-0.0048814i,-0.0055814-0.00041776i,-0.0047838-0.0030485i,0.00082193-0.0025737i,0.0023089-0.0043348i,0.015757+0.014728i,0.00025794-0.0036205i,0.0020311-0.001652i,0.0073831-0.0066832i,-0.0073834+0.00012566i,-0.0006703+0.004048i,0.0056923-0.00062584i,0.0049476-0.0011385i,-0.0029046+0.010084i,0.0067487-0.018313i,0.020192+0.019079i,0.0017741-0.098809i,-0.023171-0.072382i,-0.0073018-0.060972i,-0.018798-0.044093i,0.023888-0.080605i,-0.0073466-0.096167i,0.040917-0.062304i,0.0065837-0.069217i,0.0054216-0.0026005i,0.0052741+0.0012385i,-0.0023428-0.028263i,0.0025912+0.010426i,-0.0072699-0.0050746i,-0.0044309-0.0032006i,-0.038553-0.016171i,-0.00071474+0.028155i,-0.0030697-0.014747i,-0.011257+0.0045209i,-0.0040279-0.0038449i,-0.016056-0.01012i,-0.0028778+0.014134i,0.011973+0.00037524i,0.020574+0.016232i,0.0054788-0.00060491i,-0.0038095+0.0014858i,-0.0046761+0.0019929i,-0.012195+0.01152i,-0.0040742-0.0023591i,-0.026071+0.023769i,-0.0065852-0.0030821i,-0.0070975+0.0074049i,-0.0076679+0.0072208i,0.00036569-0.0056438i,-0.0057475+0.0050049i,0.00048801-0.0017076i,0.0027317+0.0028838i,0.0035054-0.0012748i,-0.0097402+0.0057732i,0.0029693+0.0018545i,-0.0090575+0.017101i,0.0025405-0.0063563i,-0.021791+0.015231i,-0.033886+0.02639i,-0.011184-0.094859i,-0.012715-0.013849i,-0.057499+0.0081452i,-0.020736-0.0087077i,0.017047-0.0025044i,-0.0086733+0.019704i,-0.032768-0.011849i
-0.039316-0.023093i,-0.025692-0.044058i,-0.037777-0.041921i,-0.045153-0.017708i,-0.032301-0.021732i,-0.060585+0.0086501i,-0.060361+0.017337i,-0.060598-0.0089752i,-0.04128-0.01413i,0.0083894+0.0048137i,0.0049123+0.01597i,0.011572+0.0080873i,0.018966-0.0037084i,0.0037117+0.008915i,0.0037416-0.0010787i,0.010277+0.0016592i,0.040245-0.003816i,0.0035352+0.00034013i,-0.0037038+0.0039938i,0.0028319-0.0057167i,0.000372+0.0034486i,0.0021438+0.003741i,-0.00032066+0.0006777i,0.0029308+0.02039i,-0.0031755-0.0020618i,0.0032212-0.0052647i,0.0023134-0.0021594i,0.0026194-1.134e-05i,-0.00032217-0.00050666i,-0.0039044-0.0019553i,-0.0039482-0.0038743i,-0.0049637+0.0013269i,-0.0056269-0.0010301i,-0.00048869-0.0030486i,-0.00085129-0.0055444i,0.015311+0.0082664i,-0.0010216-0.00376i,0.0012053-0.002467i,0.0032748-0.0090369i,-0.0051231+0.0028602i,0.0011924+0.0038872i,0.0041427-0.0022214i,0.0043862-0.0029373i,0.00078572+0.0099614i,0.0067705-0.024547i,0.033885+0.0081544i,-0.014844-0.095826i,-0.032371-0.062373i,-0.012769-0.067323i,-0.020968-0.043883i,0.0063304-0.096741i,-0.034283-0.096493i,0.038336-0.08172i,-0.0028546-0.067232i,0.0062148-5.2046e-06i,0.0020106-0.0034203i,-0.013493-0.024219i,0.0038283+0.0025033i,-0.0097408-0.0015118i,-0.0089769-0.0058228i,-0.044558+0.0035854i,0.010223+0.02238i,-0.0086988-0.012471i,-0.0073792+0.0054764i,-0.0054462-0.0016327i,-0.020325-0.0016551i,0.0048336+0.01229i,0.01259-0.0057i,0.02346+0.0046027i,0.005497-0.002563i,-0.0045749+0.0011658i,-0.0040503+0.0042283i,-0.0059739+0.017504i,-0.0055778+0.0017186i,-0.019324+0.031091i,-0.0067429-0.00054149i,-0.0019195+0.0097976i,-0.0017446+0.011536i,-0.0045262-0.0029943i,-0.0025063+0.0043135i,2.5224e-06-0.001308i,0.001737+0.0026584i,0.001502-0.0031564i,-0.0038475+0.0052084i,-0.00050869-0.00063129i,-0.0047812+0.019177i,-0.0021263-0.0054128i,-0.013608+0.019771i,-0.02352+0.030591i,-0.022916-0.093241i,-0.010605-0.0084272i,-0.051296+0.023862i,-0.028571-0.0057564i,0.013787-0.0087885i,-0.00011222+0.015136i,-0.032959-0.004825i
-0.04084-0.016334i,-0.035584-0.042144i,-0.049011-0.038446i,-0.045791-0.011507i,-0.040705-0.022322i,-0.056693+0.021377i,-0.045847+0.028999i,-0.057841+0.004327i,-0.038183-0.0058728i,0.0083674+0.002972i,0.010436+0.011042i,0.012581+0.0041132i,0.013644-0.0098807i,0.0084866+0.0077167i,0.0022537-0.0024264i,0.006746-0.0010443i,0.028057-0.021173i,0.0030925-0.0011435i,-0.00024562+0.0076061i,0.00045703-0.0053441i,0.0022563+0.0039521i,0.0030379+0.0021614i,-0.00024295+0.0015848i,0.01732+0.013559i,-0.0039946-0.00024773i,0.00093768-0.0060115i,0.00098924-0.0028573i,0.0027725+5.7934e-05i,-0.00013533-0.00024927i,-0.0049269+0.00062164i,-0.0049609-0.0025798i,-0.0038285+0.0030667i,-0.0049158+0.00095466i,-0.0020269-0.0025516i,-0.0028471-0.0038693i,0.01549+0.0054411i,-0.0019154-0.0034943i,-0.00031978-0.0028471i,0.00012789-0.0085967i,-0.0031446+0.00071961i,0.0021672+0.0031604i,0.0018282-0.001819i,0.0033664-0.0042019i,0.0025197+0.007979i,0.0018554-0.035275i,0.04286-0.0097349i,-0.025303-0.087867i,-0.036918-0.05362i,-0.020189-0.071895i,-0.023389-0.042605i,-0.022177-0.10567i,-0.057162-0.086208i,0.018864-0.09682i,-0.014386-0.061501i,0.0092894+0.0025426i,-0.0030234-0.0053708i,-0.02066-0.015046i,0.00027944-0.00045608i,-0.011058+0.00024715i,-0.015923-0.0020608i,-0.039719+0.02075i,0.013458+0.012025i,-0.013765-0.0079077i,-0.0054878+0.0053008i,-0.0060438+0.001535i,-0.01927+0.008617i,0.0054061+0.0072005i,0.010179-0.011143i,0.023422-0.0069693i,0.0036232-0.0058772i,-0.0067199+0.0035466i,-0.0018188+0.0064465i,0.0024247+0.018721i,-0.004136+0.0062376i,-0.01137+0.038234i,-0.0073418+0.0007625i,0.0019507+0.0067459i,0.0047546+0.01081i,-0.006228+0.0007873i,-0.003458+0.0018275i,-0.0012084-0.0015652i,0.00093859+0.0046038i,-0.0025333-0.0036488i,-0.0031173+0.0027971i,-0.0032527+0.0019202i,0.0027772+0.021398i,-0.0049628-0.0034426i,-0.00493+0.020546i,-0.015647+0.03286i,-0.036425-0.088044i,-0.005068-0.012225i,-0.04022+0.039732i,-0.030994+0.0042228i,0.008529-0.013495i,0.00098167+0.0073006i,-0.031921-0.0012709i
-0.040529-0.010843i,-0.04208-0.038015i,-0.060479-0.028098i,-0.046809-0.005308i,-0.05186-0.016888i,-0.048513+0.031905i,-0.033138+0.031814i,-0.05211+0.014385i,-0.035877-0.0022398i,0.0077218+0.0015127i,0.010843+0.0063114i,0.012735-0.0016751i,0.0068989-0.013278i,0.012091+0.0031713i,0.00032124-0.0028811i,0.0038111-0.0012837i,0.01194-0.025387i,0.0039533-0.0021901i,0.0047454+0.0065221i,-0.0014781-0.0040405i,0.0040388+0.0018893i,0.002865+0.0011662i,0.0010883+0.0022753i,0.021201-0.00018848i,-0.0023639+0.0022629i,-0.0016619-0.0055257i,-0.00090506-0.0011298i,0.0032517-0.0018174i,-0.00014185-0.00057677i,-0.0029835+0.0034652i,-0.0049798-0.0015771i,-0.0027652+0.0037166i,-0.0045509+0.002946i,-0.0027708-0.00081084i,-0.0026316-0.0024982i,0.017019+0.0010687i,-0.0033377-0.0028246i,-0.002366-0.0028694i,-0.0033961-0.008519i,-0.0050719-0.00072319i,0.0034781+0.002302i,0.0011492-0.00037611i,0.00093205-0.0052845i,0.0038609+0.006833i,-0.0096512-0.04072i,0.033779-0.034494i,-0.028465-0.081219i,-0.040844-0.046276i,-0.030392-0.072001i,-0.025671-0.044196i,-0.052124-0.097074i,-0.076529-0.069229i,-0.00056574-0.1004i,-0.016577-0.047235i,0.017656+0.0053561i,-0.0067657-0.0028422i,-0.020083-0.0028494i,-0.0013665-0.00068353i,-0.014981+0.0042138i,-0.014257+0.004712i,-0.03004+0.035675i,0.011409+0.0051116i,-0.012699+0.00013634i,-0.0071116+0.0048956i,-0.0030294+0.0049319i,-0.012551+0.015449i,0.0065287+0.007867i,0.0050236-0.018655i,0.013018-0.020875i,-0.002917-0.0088124i,-0.006854+0.0078366i,0.00012345+0.0061962i,0.0099456+0.015867i,0.00064756+0.008165i,0.004796+0.046406i,-0.0082226+0.0034109i,0.0018156+0.0054226i,0.0088615+0.0059294i,-0.0045064+0.0069105i,-0.0053242+0.0043225i,-0.0035319-0.00073306i,0.0045892+0.0057299i,-0.0036153+0.0022708i,-0.0052718+0.0029174i,-0.00077837+0.0066683i,0.0097195+0.017392i,-0.0065774-0.0017581i,0.00070036+0.017481i,-0.005614+0.035183i,-0.0425-0.078468i,-0.011699-0.023304i,-0.016042+0.045565i,-0.026792+0.011583i,0.0057844-0.020012i,0.00053772+0.0013895i,-0.030724+0.0055816i
-0.039816-0.0057696i,-0.053114-0.034891i,-0.067928-0.014126i,-0.045093+0.0025668i,-0.05968-0.0040653i,-0.039127+0.0384i,-0.023776+0.031432i,-0.045405+0.021137i,-0.036933+0.0019041i,0.0084957-0.00070476i,0.012935+0.0035461i,0.0087366-0.0067788i,-0.00078338-0.012093i,0.012608-0.003644i,-0.0012663-0.0026127i,0.0022095-0.00019571i,-6.0039e-05-0.021193i,0.0027135-0.0048729i,0.0059817+0.002338i,-0.0024316-0.0016913i,0.0039109-0.00024627i,0.0040752+0.0012183i,0.0026098+0.0015656i,0.016297-0.010369i,0.00082293+0.0012447i,-0.0026299-0.0035128i,-0.0001968-0.001548i,0.0021533-0.0034144i,2.9625e-05-0.00043683i,-0.00038228+0.0039571i,-0.0053547-0.00070138i,-0.00093421+0.003985i,-0.0025538+0.0046834i,-0.0023905+0.00028425i,-0.0035317-0.0031823i,0.015646-0.0046435i,-0.0036686-0.0010897i,-0.003284-0.0013411i,-0.0071058-0.0047691i,-0.0080296+0.00182i,0.0037892+0.00083367i,0.0026329-0.0008848i,-0.0015493-0.0047482i,0.0049258+0.0032813i,-0.022396-0.039272i,0.014533-0.041036i,-0.035752-0.083519i,-0.039117-0.038959i,-0.038518-0.069415i,-0.03514-0.046664i,-0.072055-0.081565i,-0.083105-0.043336i,-0.025498-0.10146i,-0.0097989-0.043549i,0.025295-0.0093954i,-0.0078933+0.0010989i,-0.015146-0.00062926i,-0.0053312+0.00013759i,-0.012917+0.012969i,-0.011855+0.0074163i,-0.0093867+0.042605i,0.011156+0.0013965i,-0.011636+0.0016761i,-0.004216+0.0068877i,-0.0013852+0.0042132i,-0.00527+0.018917i,0.010912+0.0047537i,-0.0076823-0.019864i,-0.0048053-0.021484i,-0.0060341-0.0019465i,-0.0030459+0.011444i,0.0032774+0.0050685i,0.015929+0.0074708i,0.0041565+0.0048197i,0.02586+0.040234i,-0.0044279+0.0066179i,0.0025159+0.003465i,0.0091298+0.00073513i,0.0011708+0.0085769i,-0.0064291+0.0069927i,-0.0044975+0.0032113i,0.0083491+0.0053951i,-0.0014079+0.0047856i,-0.0064141+0.0054301i,0.0031851+0.0068016i,0.012705+0.011836i,-0.0059701+0.0008912i,0.0060775+0.012927i,0.0052341+0.032367i,-0.049387-0.075052i,-0.027247-0.021756i,0.0017138+0.036296i,-0.023473+0.015939i,-0.003804-0.027106i,-0.0036411-0.0030545i,-0.022204+0.0087595i
-0.039239-0.0014257i,-0.062973-0.022408i,-0.071207+0.0017003i,-0.041943+0.0071543i,-0.059767+0.010938i,-0.030902+0.04268i,-0.016858+0.030031i,-0.039042+0.025466i,-0.035479+0.0096383i,0.0078135-0.0032909i,0.013692-0.0041328i,0.0028786-0.0073735i,-0.0045296-0.0074971i,0.0081996-0.0082611i,-0.0027292-0.001981i,0.003007-0.00021869i,-0.0065138-0.014517i,-0.00048312-0.0048558i,0.0044923-6.0605e-05i,-0.0019612-6.6098e-05i,0.0022853-0.00085352i,0.0044155-0.00036801i,0.0029601+0.00033387i,0.0089116-0.01525i,0.00012557-0.00072247i,-0.0025584-0.0025607i,-0.00047762-0.00188i,0.00042301-0.0032535i,0.00096534-0.0003539i,0.0010487+0.002991i,-0.0057718+0.00055614i,0.00063957+0.0035131i,-0.00034023+0.0051705i,-0.0022449+0.00033068i,-0.0050338-0.00043216i,0.012155-0.0091112i,-0.0031237-0.00010222i,-0.0026552+0.00036061i,-0.0065531-0.0015896i,-0.0069982+0.0060589i,0.0036115+7.7634e-08i,0.0029548-0.0017712i,-0.003055-0.0035998i,0.0027959+0.00052296i,-0.031488-0.032019i,0.0060851-0.031712i,-0.047836-0.083691i,-0.036525-0.03746i,-0.047378-0.065651i,-0.045505-0.041372i,-0.08842-0.064546i,-0.076831-0.023639i,-0.053526-0.087726i,-0.0073248-0.048688i,0.022209-0.021955i,-0.0062371+0.0038952i,-0.013923+0.0037647i,-0.0083733+0.0052815i,-0.0049755+0.018839i,-0.0082218+0.011304i,0.010244+0.036137i,0.0093355-0.0042985i,-0.012284+0.0047016i,-0.0028829+0.0059055i,0.00085249+0.0047532i,0.0030951+0.016305i,0.011589-0.0029012i,-0.017224-0.010595i,-0.014786-0.011208i,-0.0034574+0.0023991i,0.0036337+0.011504i,0.0041386+0.0026184i,0.017795+1.099e-05i,0.0065608+0.0040236i,0.038726+0.024943i,-0.0013691+0.0054951i,0.00082559+0.0036851i,0.0071044-0.0043824i,0.0056565+0.0055837i,-0.0049445+0.013534i,-0.0014937+0.0074089i,0.012591+0.00039377i,0.0029009+0.0048344i,-0.0054474+0.0088775i,0.0057396+0.0040729i,0.0136+0.0071148i,-0.0057743+0.002085i,0.0076977+0.0073236i,0.011995+0.026289i,-0.057655-0.068376i,-0.034594-0.008694i,0.011137+0.023481i,-0.01109+0.02251i,-0.016532-0.026876i,-0.011198-0.0026627i,-0.020274+0.0037401i
-0.038965+0.0031593i,-0.064839-0.0069297i,-0.068016+0.019379i,-0.040122+0.011798i,-0.054279+0.022968i,-0.022068+0.046271i,-0.011453+0.027628i,-0.03408+0.028614i,-0.029759+0.015619i,0.0058812-0.0058154i,0.0075869-0.0095954i,0.00030308-0.0050267i,-0.0051028-0.0039354i,0.00352-0.0099611i,-0.003927-0.00040365i,0.0025696-0.0015561i,-0.0066752-0.0081985i,-0.0019983-0.0033657i,0.0032968-0.00036946i,-0.00088124+0.00077773i,0.0024422+9.8415e-05i,0.0040817-0.0015286i,0.0031008-0.0005981i,0.0022088-0.015358i,-0.0010004-0.00091413i,-0.002972-0.0027442i,-0.00091708-0.0017145i,-0.00069704-0.0032638i,0.0008854-0.0015498i,0.0022021+0.0023985i,-0.0055903+0.0019402i,0.0017649+0.0025856i,0.0014096+0.0038546i,-0.0023181+0.0016897i,-0.0038079+0.00042146i,0.0070495-0.012099i,-0.0022049+0.00045804i,-0.001855+0.0011101i,-0.0075885+0.00061544i,-0.0041465+0.0084346i,0.0034429-0.00099518i,0.0018491-0.0028552i,-0.0036073-0.0018617i,-0.00080069+0.0005468i,-0.036899-0.022658i,0.013753-0.025291i,-0.063563-0.079678i,-0.037683-0.038856i,-0.053987-0.05954i,-0.051888-0.033001i,-0.10017-0.041368i,-0.071983-0.013949i,-0.062502-0.061306i,-0.010993-0.052574i,0.0133-0.032442i,-0.0048358+0.0048362i,-0.0097981+0.0039161i,-0.0040879+0.01157i,0.003526+0.017828i,0.00068841+0.010506i,0.018364+0.022236i,0.0051651-0.0067177i,-0.011077+0.0092778i,-0.0027738+0.0057933i,0.0019034+0.0027935i,0.007133+0.012062i,0.0052905-0.0054457i,-0.01971+0.00022888i,-0.016064-0.0012888i,0.00047611+0.0025548i,0.0067048+0.0097173i,0.0027706+0.0014162i,0.01408-0.010815i,0.0071183-0.00088997i,0.043347+0.0065714i,-0.00093317+0.0061469i,0.0029174+0.0033348i,0.0019898-0.0067136i,0.0062063+0.0020895i,0.0017151+0.017309i,0.0047757+0.0053658i,0.010148-0.0052786i,0.005046+0.0014064i,-0.0013962+0.01321i,0.0048766+0.0031483i,0.012637+0.0034731i,-0.0069738+0.0037131i,0.0046785+0.00428i,0.015795+0.021482i,-0.063453-0.06024i,-0.032316+0.0046627i,0.012139+0.011807i,-9.9664e-05+0.015571i,-0.028449-0.020232i,-0.013522+0.0055748i,-0.023508+0.0060785i
-0.038323+0.0085684i,-0.061535+0.0043057i,-0.059078+0.033734i,-0.038342+0.016288i,-0.046751+0.031819i,-0.012832+0.048092i,-0.0083102+0.02534i,-0.029551+0.032566i,-0.024483+0.018305i,0.0026785-0.0070483i,0.00085536-0.0090171i,-0.00043559-0.0039811i,-0.0041196-0.0022674i,-0.00070157-0.0097373i,-0.0037302+0.0017236i,0.00081268-0.0025782i,-0.0057016-0.0064228i,-0.0020613-0.0015205i,0.0032131-0.00082433i,0.00050255+0.0010367i,0.0037126-0.00052788i,0.0034297-0.0019891i,0.0028835-0.0014688i,-0.0026839-0.01362i,-0.0011926-0.0004178i,-0.0041461-0.0016335i,-0.0012526-0.001675i,-0.0018477-0.0032806i,0.00019332-0.0019574i,0.0032139+0.00087802i,-0.0048522+0.0035293i,0.0022971+0.0013693i,0.0023182+0.0027499i,-0.0011754+0.0024696i,-0.003966+0.001355i,0.0018223-0.010915i,-0.0020628+0.00027017i,-0.00074374+0.0013543i,-0.0059856+0.0048893i,-0.00013947+0.0097738i,0.002978-0.0017845i,0.0018036-0.0024952i,-0.0034272-0.00078226i,-0.0010299+0.0037798i,-0.036729-0.013665i,0.02719-0.035211i,-0.080143-0.067615i,-0.042651-0.038814i,-0.057907-0.054036i,-0.056701-0.024591i,-0.10102-0.017968i,-0.067762-0.0030933i,-0.058516-0.044684i,-0.015732-0.056704i,0.0003461-0.036971i,-0.0024376+0.0063285i,-0.010081+0.001601i,0.0027023+0.01199i,0.0089057+0.012688i,0.0048037+0.003287i,0.017212+0.0098835i,0.00048686-0.007325i,-0.007091+0.013042i,-0.0031912+0.0066283i,0.0014484+0.0014919i,0.0086484+0.0071315i,0.0029074-0.0033572i,-0.016083+0.010049i,-0.012401+0.006475i,0.0017648+0.001479i,0.010839+0.0068286i,0.0020769+0.001176i,0.0046804-0.014805i,0.0039678-0.0039035i,0.03886-0.0093452i,0.0013774+0.0068526i,0.00206+0.0020048i,-0.0018929-0.005046i,0.0056351+0.00050776i,0.010109+0.016909i,0.0053155+0.0009648i,0.0070877-0.0073574i,0.0040905-0.00090958i,0.0059056+0.013084i,0.0054904+0.0017276i,0.013066-0.00078125i,-0.0050574+0.0084089i,0.0046411+0.0034944i,0.018429+0.01679i,-0.068918-0.053416i,-0.025957+0.01097i,0.011492+0.0051892i,0.0010532+0.0065955i,-0.035797-0.0093051i,-0.0092305+0.0079023i,-0.022103+0.0092891i
-0.036022+0.013882i,-0.056616+0.012645i,-0.045943+0.043212i,-0.034839+0.021188i,-0.037319+0.037348i,-0.0037998+0.048129i,-0.005695+0.02411i,-0.023783+0.036293i,-0.019876+0.020523i,-0.00062263-0.0071755i,-0.0028813-0.0062636i,-0.00033638-0.0034874i,-0.0040826-0.0012745i,-0.0043124-0.0078735i,-0.0030267+0.0031158i,-0.0011471-0.0023579i,-0.007094-0.0063075i,-0.0018154-0.001002i,0.0027843-0.001502i,0.0014368+0.00040199i,0.0039846-0.0020681i,0.0034754-0.0025829i,0.0022915-0.0022613i,-0.0066166-0.011313i,-0.0014137-0.00029279i,-0.0043142+3.2636e-05i,-0.0019546-0.0010652i,-0.0027777-0.0023557i,-0.00047448-0.0019883i,0.0025216-0.001214i,-0.0034874+0.0053191i,0.001944+0.00055442i,0.0028465+0.00142i,0.00035254+0.0022669i,-0.0031208+0.0028499i,-0.00030016-0.0082008i,-0.0018042+0.0006088i,0.00023685+0.0008095i,-0.0018413+0.0054176i,0.0045014+0.0089022i,0.0022633-0.0023305i,0.0018498-0.0028198i,-0.0034382-1.8275e-05i,0.00066419+0.0033793i,-0.03391-0.0087665i,0.027102-0.058479i,-0.090745-0.049228i,-0.046928-0.037247i,-0.06243-0.05299i,-0.058689-0.015099i,-0.098417-0.00012516i,-0.061977+0.0045342i,-0.054837-0.033984i,-0.02393-0.058629i,-0.013484-0.036699i,-0.00033514+0.0058206i,-0.015386+0.0021375i,0.0074892+0.0079964i,0.010902+0.007107i,0.0034921-0.0027022i,0.012613+0.0036812i,-0.0038839-0.0072554i,-0.0018925+0.01427i,-0.001767+0.0079432i,0.00083387+0.0012827i,0.0067697+0.0034711i,0.0024632-0.0019842i,-0.0086732+0.014721i,-0.0064122+0.010787i,0.0034636-0.00036084i,0.013366+0.00062638i,0.0015645+0.0015994i,-0.0033336-0.012503i,0.00095464-0.0043688i,0.029899-0.02034i,0.004415+0.0062141i,0.0014934+0.0030997i,-0.0048338-0.0020456i,0.00508-0.0023905i,0.017688+0.011724i,0.0041432-0.0020774i,0.0035173-0.0091489i,0.0025648-0.0024052i,0.010703+0.0087915i,0.0052627+0.0013331i,0.0094078-0.0058148i,-0.00022762+0.010006i,0.0050305+0.0013339i,0.022014+0.012217i,-0.074987-0.044551i,-0.019464+0.016464i,0.010282-0.00031909i,-0.0014255+0.0030791i,-0.037696+0.0023248i,-0.0072359+0.0073435i,-0.01962+0.012113i
